response_id,mode,status,attention_check,duration_seconds,region,county,age,gender,race_ethnicity,education,party_registration,ideology,vote_2024,homeownership,children_home,housing_cost_seriousness,allow_more_housing,rent_increase_limit,affordable_housing_tax_credits,development_traffic_concern,corporate_buyer_restrictions,public_land_housing,housing_priority_tradeoff
NVH00012,sms,complete,Passed,684,Clark,Clark,77,Female,White non-Hispanic,Some college/associate,Republican,Somewhat conservative,Trump,Other arrangement,Yes,Very serious,Somewhat oppose,Somewhat oppose,Strongly support,Not too concerned,Not sure,Somewhat support,Protect existing neighborhoods even if fewer homes are built
NVH00013,online,complete,Passed,1323,Clark,Clark,19,Male,Hispanic/Latino,College graduate,Republican,Somewhat liberal,Trump,Own,No,Somewhat serious,Not sure,Somewhat oppose,Somewhat support,Very concerned,Strongly support,Strongly support,Protect existing neighborhoods even if fewer homes are built
NVH00014,sms,complete,Passed,339,Clark,Clark,64,Female,Hispanic/Latino,Postgraduate,Independent/Other,Moderate,Harris,Rent,Yes,Somewhat serious,Not sure,Somewhat support,Somewhat support,Not too concerned,Somewhat support,Strongly oppose,Build more homes even if neighborhoods change
NVH00015,online,complete,Passed,776,Clark,Clark,44,Male,White non-Hispanic,Some college/associate,Republican,Very conservative,Trump,Rent,No,Somewhat serious,Strongly support,Strongly oppose,Somewhat oppose,Not too concerned,Strongly support,Strongly oppose,Protect existing neighborhoods even if fewer homes are built
NVH00016,online,complete,Passed,359,Clark,Clark,56,Female,Hispanic/Latino,College graduate,Republican,Very conservative,Harris,Own,No,Very serious,Strongly support,Somewhat support,Strongly support,Somewhat concerned,Somewhat support,Somewhat support,Protect existing neighborhoods even if fewer homes are built
NVH00017,online,complete,Passed,1252,Washoe,Washoe,31,Female,Hispanic/Latino,Some college/associate,Democrat,Moderate,Trump,Rent,No,Very serious,Somewhat support,Strongly support,Strongly support,Very concerned,Strongly support,Strongly oppose,Build more homes even if neighborhoods change
NVH00018,online,complete,Passed,1345,Clark,Clark,26,Female,Black,High school or less,Republican,Moderate,Did not vote,Own,No,Somewhat serious,Somewhat support,Somewhat oppose,Somewhat oppose,Not too concerned,Somewhat support,Strongly oppose,Build more homes even if neighborhoods change
NVH00019,online,complete,Passed,1261,Clark,Clark,70,Female,White non-Hispanic,High school or less,Republican,Somewhat conservative,Harris,Rent,No,Not too serious,Somewhat oppose,Not sure,Strongly oppose,Somewhat concerned,Strongly support,Somewhat support,Protect existing neighborhoods even if fewer homes are built
NVH00020,online,complete,Passed,1016,Clark,Clark,20,Female,White non-Hispanic,Some college/associate,Democrat,Somewhat conservative,Harris,Own,No,Somewhat serious,Somewhat support,Not sure,Strongly oppose,Somewhat concerned,Strongly support,Not sure,Build more homes even if neighborhoods change
NVH00021,sms,complete,Passed,944,Washoe,Washoe,36,Male,Other/Mixed,Some college/associate,Democrat,Moderate,Did not vote,Rent,No,Very serious,Somewhat support,Strongly support,Somewhat support,Not at all concerned,Somewhat support,Strongly support,Protect existing neighborhoods even if fewer homes are built
NVH00022,online,complete,Passed,477,Washoe,Washoe,21,Male,Black,College graduate,Republican,Very conservative,Trump,Rent,No,Somewhat serious,Strongly support,Strongly support,Strongly support,Somewhat concerned,Somewhat support,Somewhat oppose,Build more homes even if neighborhoods change
NVH00023,sms,complete,Passed,947,Clark,Clark,21,Female,Black,Some college/associate,Democrat,Somewhat liberal,Harris,Own,No,Somewhat serious,Strongly support,Somewhat support,Strongly support,Not too concerned,Strongly support,Somewhat support,Build more homes even if neighborhoods change
NVH00024,sms,complete,Passed,996,Clark,Clark,32,Female,Black,High school or less,Independent/Other,Very conservative,Harris,Own,Yes,Very serious,Somewhat oppose,Somewhat support,Somewhat support,Somewhat concerned,Not sure,Somewhat support,Build more homes even if neighborhoods change
NVH00025,sms,complete,Passed,1024,Washoe,Washoe,46,Female,White non-Hispanic,College graduate,Republican,Somewhat conservative,Trump,Rent,No,Somewhat serious,Strongly support,Strongly support,Strongly oppose,Very concerned,Somewhat oppose,Not sure,Protect existing neighborhoods even if fewer homes are built
NVH00026,online,complete,Failed,582,Rural Nevada,Lyon,20,Male,White non-Hispanic,College graduate,Independent/Other,Very conservative,Harris,Rent,No,Very serious,Somewhat oppose,Strongly support,Not sure,Somewhat concerned,Somewhat support,Somewhat oppose,Build more homes even if neighborhoods change
NVH00027,sms,complete,Passed,1245,Clark,Clark,24,Female,Other/Mixed,High school or less,Independent/Other,Somewhat conservative,Harris,Own,No,Very serious,Somewhat oppose,Somewhat support,Strongly support,Not too concerned,Strongly support,Somewhat oppose,Build more homes even if neighborhoods change
NVH00028,online,complete,Passed,1025,Clark,Clark,20,Female,Black,Postgraduate,Democrat,Moderate,Harris,Own,No,Not too serious,Somewhat support,Somewhat support,Strongly support,Not too concerned,Strongly support,Strongly support,Protect existing neighborhoods even if fewer homes are built
NVH00029,online,complete,Passed,419,Clark,Clark,52,Female,Hispanic/Latino,High school or less,Democrat,Somewhat conservative,Harris,Own,No,Very serious,Strongly support,Somewhat oppose,Somewhat oppose,Somewhat concerned,Somewhat support,Strongly support,Build more homes even if neighborhoods change
NVH00030,sms,complete,Passed,949,Rural Nevada,Lyon,51,Female,White non-Hispanic,College graduate,Democrat,Moderate,Harris,Rent,No,Very serious,Somewhat support,Strongly support,Somewhat support,Somewhat concerned,Strongly support,Somewhat support,Build more homes even if neighborhoods change
NVH00031,sms,complete,Passed,540,Clark,Clark,81,Female,Other/Mixed,High school or less,Republican,Very conservative,Trump,Own,No,Somewhat serious,Somewhat support,Somewhat support,Not sure,Very concerned,Somewhat oppose,Strongly oppose,Protect existing neighborhoods even if fewer homes are built
NVH00032,sms,complete,Passed,296,Washoe,Washoe,47,Male,Black,College graduate,Republican,Very conservative,Trump,Own,No,Not too serious,Not sure,Somewhat oppose,Somewhat oppose,Somewhat concerned,Not sure,Somewhat oppose,Not sure
NVH00033,sms,complete,Passed,549,Clark,Clark,23,Female,White non-Hispanic,Some college/associate,Independent/Other,Very conservative,Did not vote,Own,No,Very serious,Somewhat oppose,Not sure,Somewhat support,Somewhat concerned,Somewhat support,Strongly oppose,Protect existing neighborhoods even if fewer homes are built
NVH00034,online,complete,Passed,214,Washoe,Washoe,22,Male,Asian/Pacific Islander,Postgraduate,Democrat,Moderate,Harris,Rent,No,Very serious,Strongly support,Somewhat oppose,Strongly oppose,Somewhat concerned,Strongly support,Strongly oppose,Build more homes even if neighborhoods change
NVH00035,online,complete,Passed,1137,Clark,Clark,19,Female,White non-Hispanic,High school or less,Democrat,Somewhat liberal,Other,Own,No,Somewhat serious,Somewhat support,Strongly support,Somewhat support,Very concerned,Strongly support,Strongly support,Protect existing neighborhoods even if fewer homes are built
NVH00036,online,partial,Passed,805,Washoe,Washoe,67,Female,Black,Some college/associate,Republican,Somewhat conservative,Trump,Own,No,Somewhat serious,Somewhat oppose,Somewhat oppose,Somewhat oppose,Very concerned,Somewhat support,Strongly support,Build more homes even if neighborhoods change
NVH00037,sms,complete,Passed,1438,Clark,Clark,19,Female,White non-Hispanic,Some college/associate,Republican,Moderate,Trump,Own,No,Very serious,Somewhat support,Somewhat oppose,Strongly support,Very concerned,Somewhat support,Strongly oppose,Build more homes even if neighborhoods change
NVH00038,online,complete,Passed,964,Clark,Clark,18,Female,Other/Mixed,College graduate,Democrat,Very liberal,Harris,Own,No,Somewhat serious,Somewhat support,Not sure,Not sure,Very concerned,Strongly support,Somewhat oppose,Protect existing neighborhoods even if fewer homes are built
NVH00039,online,complete,Passed,742,Clark,Clark,35,Male,Hispanic/Latino,Some college/associate,Independent/Other,Moderate,Trump,Own,No,Very serious,Somewhat oppose,Somewhat support,Somewhat oppose,Somewhat concerned,Somewhat support,Somewhat support,Protect existing neighborhoods even if fewer homes are built
NVH00040,sms,complete,Passed,1333,Clark,Clark,24,Female,Hispanic/Latino,Postgraduate,Republican,Somewhat conservative,Trump,Rent,No,Very serious,Strongly support,Strongly oppose,Strongly oppose,Not too concerned,Somewhat support,Strongly support,Protect existing neighborhoods even if fewer homes are built
NVH00041,online,complete,Passed,1343,Clark,Clark,44,Female,Other/Mixed,Postgraduate,Democrat,Somewhat liberal,Trump,Rent,No,Very serious,Strongly support,Strongly support,Somewhat oppose,Somewhat concerned,Somewhat support,Somewhat support,Protect existing neighborhoods even if fewer homes are built
NVH00042,online,complete,Passed,1128,Clark,Clark,53,Female,White non-Hispanic,High school or less,Republican,Very conservative,Other,Rent,Yes,Very serious,Strongly support,Somewhat oppose,Strongly oppose,Very concerned,Somewhat support,Somewhat oppose,Not sure
NVH00043,online,complete,Passed,1437,Clark,Clark,36,Female,Hispanic/Latino,Some college/associate,Republican,Somewhat conservative,Trump,Rent,No,Very serious,Somewhat oppose,Strongly support,Strongly oppose,Somewhat concerned,Strongly support,Somewhat support,Build more homes even if neighborhoods change
NVH00044,online,complete,Passed,243,Clark,Clark,56,Female,Other/Mixed,Some college/associate,Independent/Other,Moderate,Harris,Rent,No,Somewhat serious,Strongly support,Somewhat support,Strongly oppose,Somewhat concerned,Strongly support,Somewhat support,Not sure
NVH00045,online,complete,Passed,278,Washoe,Washoe,59,Male,White non-Hispanic,High school or less,Republican,Very conservative,Trump,Own,No,Very serious,Strongly support,Somewhat oppose,Somewhat oppose,Somewhat concerned,Strongly support,Strongly support,Not sure
NVH00046,online,partial,Passed,622,Clark,Clark,48,Male,Hispanic/Latino,Postgraduate,Independent/Other,Moderate,Trump,Own,No,Somewhat serious,Somewhat support,Strongly support,Somewhat support,Somewhat concerned,Strongly support,Not sure,Not sure
NVH00047,online,complete,Passed,606,Clark,Clark,42,Male,White non-Hispanic,Some college/associate,Democrat,Somewhat liberal,Harris,Own,No,Somewhat serious,Somewhat oppose,Strongly support,Somewhat oppose,Not too concerned,Strongly support,Somewhat support,Protect existing neighborhoods even if fewer homes are built
NVH00048,online,complete,Passed,1119,Clark,Clark,39,Female,White non-Hispanic,College graduate,Republican,Very conservative,Trump,Other arrangement,No,Not too serious,Somewhat support,Strongly support,Somewhat oppose,Not at all concerned,Strongly support,Somewhat oppose,Build more homes even if neighborhoods change
NVH00049,sms,complete,Passed,498,Washoe,Washoe,74,Male,Black,High school or less,Republican,Somewhat conservative,Trump,Own,Yes,Very serious,Strongly oppose,Somewhat support,Somewhat support,Somewhat concerned,Somewhat support,Somewhat support,Build more homes even if neighborhoods change
NVH00050,sms,complete,Passed,1387,Washoe,Washoe,32,Male,Other/Mixed,Some college/associate,Independent/Other,Moderate,Did not vote,Other arrangement,Yes,Somewhat serious,Somewhat oppose,Not sure,Strongly oppose,Not too concerned,Strongly support,Not sure,Protect existing neighborhoods even if fewer homes are built
NVH00051,sms,complete,Passed,758,Clark,Clark,23,Female,White non-Hispanic,Postgraduate,Republican,Moderate,Trump,Own,No,Very serious,Somewhat support,Somewhat oppose,Somewhat oppose,Very concerned,Strongly support,Somewhat oppose,Build more homes even if neighborhoods change
NVH00052,sms,complete,Passed,404,Clark,Clark,30,Female,White non-Hispanic,College graduate,Democrat,Somewhat liberal,Harris,Rent,No,Very serious,Somewhat support,Strongly support,Somewhat support,Not too concerned,Strongly support,Somewhat oppose,Build more homes even if neighborhoods change
NVH00053,online,complete,Passed,982,Washoe,Washoe,34,Male,Hispanic/Latino,College graduate,Independent/Other,Somewhat liberal,Harris,Own,Yes,Somewhat serious,Somewhat oppose,Somewhat oppose,Strongly support,Somewhat concerned,Somewhat oppose,Strongly support,Build more homes even if neighborhoods change
NVH00054,online,complete,Passed,687,Clark,Clark,70,Female,Hispanic/Latino,High school or less,Republican,Somewhat conservative,Trump,Own,No,Very serious,Strongly oppose,Somewhat oppose,Strongly support,Somewhat concerned,Somewhat support,Somewhat support,Protect existing neighborhoods even if fewer homes are built
NVH00055,online,complete,Passed,360,Clark,Clark,77,Female,White non-Hispanic,Postgraduate,Democrat,Very liberal,Harris,Rent,No,Very serious,Strongly support,Not sure,Strongly oppose,Very concerned,Somewhat support,Strongly support,Not sure
NVH00056,online,complete,Passed,936,Clark,Clark,43,Male,Hispanic/Latino,College graduate,Democrat,Very liberal,Harris,Rent,No,Very serious,Strongly support,Strongly support,Somewhat support,Very concerned,Somewhat oppose,Somewhat oppose,Not sure
NVH00057,online,complete,Passed,1090,Clark,Clark,59,Female,Hispanic/Latino,College graduate,Independent/Other,Somewhat conservative,Did not vote,Rent,No,Very serious,Somewhat support,Somewhat oppose,Somewhat oppose,Somewhat concerned,Strongly support,Somewhat support,Protect existing neighborhoods even if fewer homes are built
NVH00058,online,complete,Passed,1360,Clark,Clark,42,Female,Hispanic/Latino,Postgraduate,Independent/Other,Moderate,Harris,Own,No,Somewhat serious,Somewhat support,Somewhat support,Strongly oppose,Somewhat concerned,Somewhat support,Somewhat support,Not sure
NVH00059,sms,complete,Passed,551,Clark,Clark,67,Female,Hispanic/Latino,Postgraduate,Democrat,Somewhat liberal,Other,Own,No,Somewhat serious,Somewhat oppose,Strongly support,Somewhat support,Somewhat concerned,Strongly support,Strongly oppose,Protect existing neighborhoods even if fewer homes are built
NVH00060,online,complete,Passed,1401,Clark,Clark,55,Female,White non-Hispanic,College graduate,Republican,Very conservative,Trump,Rent,No,Very serious,Somewhat support,Somewhat support,Somewhat support,Not at all concerned,Not sure,Somewhat oppose,Not sure
NVH00061,online,complete,Passed,889,Clark,Clark,48,Female,Other/Mixed,High school or less,Democrat,Somewhat liberal,Harris,Rent,No,Very serious,Somewhat support,Strongly support,Strongly oppose,Somewhat concerned,Strongly support,Somewhat oppose,Build more homes even if neighborhoods change
NVH00062,online,complete,Passed,1045,Clark,Clark,32,Male,White non-Hispanic,College graduate,Independent/Other,Somewhat liberal,Trump,Rent,Yes,Very serious,Strongly support,Strongly support,Strongly support,Somewhat concerned,Somewhat support,Strongly support,Not sure
NVH00063,online,complete,Failed,662,Clark,Clark,68,Male,Hispanic/Latino,Postgraduate,Independent/Other,Moderate,Did not vote,Rent,Yes,Very serious,Somewhat support,Somewhat support,Strongly support,Very concerned,Somewhat support,Somewhat support,Build more homes even if neighborhoods change
NVH00064,sms,complete,Passed,811,Clark,Clark,74,Female,Hispanic/Latino,Some college/associate,Republican,Very conservative,Did not vote,Own,No,Very serious,Strongly oppose,Somewhat oppose,Somewhat oppose,Not too concerned,Somewhat oppose,Somewhat support,Protect existing neighborhoods even if fewer homes are built
NVH00065,online,complete,Passed,694,Clark,Clark,20,Female,Other/Mixed,High school or less,Republican,Somewhat conservative,Other,Own,No,Somewhat serious,Somewhat oppose,Somewhat oppose,Strongly oppose,Not too concerned,Strongly support,Strongly support,Protect existing neighborhoods even if fewer homes are built
NVH00066,online,complete,Passed,681,Clark,Clark,43,Female,White non-Hispanic,Some college/associate,Democrat,Somewhat liberal,Harris,Rent,No,Very serious,Somewhat support,Strongly support,Strongly oppose,Somewhat concerned,Somewhat support,Not sure,Build more homes even if neighborhoods change
NVH00067,online,complete,Passed,1014,Clark,Clark,39,Female,Hispanic/Latino,Postgraduate,Independent/Other,Somewhat conservative,Harris,Own,Yes,Somewhat serious,Strongly oppose,Strongly support,Somewhat oppose,Not too concerned,Strongly support,Somewhat support,Build more homes even if neighborhoods change
NVH00068,online,complete,Passed,1379,Clark,Clark,43,Male,White non-Hispanic,Some college/associate,Democrat,Somewhat liberal,Harris,Rent,No,Very serious,Somewhat support,Strongly support,Strongly support,Not at all concerned,Strongly support,Strongly support,Build more homes even if neighborhoods change
NVH00069,online,complete,Passed,561,Rural Nevada,Elko,27,Female,Hispanic/Latino,College graduate,Democrat,Moderate,Harris,Rent,No,Very serious,Somewhat oppose,Strongly support,Somewhat support,Somewhat concerned,Somewhat oppose,Somewhat oppose,Protect existing neighborhoods even if fewer homes are built
NVH00070,sms,complete,Passed,1410,Rural Nevada,Carson City,27,Female,Hispanic/Latino,College graduate,Democrat,Somewhat conservative,Harris,Rent,No,Somewhat serious,Strongly support,Not sure,Strongly support,Somewhat concerned,Somewhat support,Strongly support,Protect existing neighborhoods even if fewer homes are built
NVH00071,online,terminated,Passed,1011,Clark,Clark,40,Female,Asian/Pacific Islander,Some college/associate,Republican,Moderate,Did not vote,Own,No,Somewhat serious,Strongly support,Strongly support,Somewhat support,Somewhat concerned,Not sure,Somewhat oppose,Build more homes even if neighborhoods change
NVH00072,online,complete,Passed,818,Clark,Clark,43,Female,Other/Mixed,College graduate,Republican,Somewhat conservative,Trump,Rent,No,Very serious,Strongly oppose,Strongly support,Somewhat support,Somewhat concerned,Somewhat support,Not sure,Build more homes even if neighborhoods change
NVH00073,online,complete,Passed,871,Clark,Clark,84,Female,Hispanic/Latino,High school or less,Democrat,Somewhat liberal,Harris,Other arrangement,No,Very serious,Strongly oppose,Somewhat oppose,Strongly support,Very concerned,Somewhat support,Somewhat oppose,Protect existing neighborhoods even if fewer homes are built
NVH00074,online,complete,Passed,1085,Clark,Clark,69,Male,White non-Hispanic,College graduate,Democrat,Somewhat liberal,Trump,Own,Yes,Not too serious,Somewhat oppose,Strongly support,Somewhat oppose,Very concerned,Somewhat oppose,Somewhat support,Build more homes even if neighborhoods change
NVH00075,online,complete,Passed,725,Clark,Clark,74,Female,White non-Hispanic,Postgraduate,Independent/Other,Somewhat liberal,Trump,Own,No,Somewhat serious,Somewhat oppose,Strongly oppose,Strongly support,Somewhat concerned,Strongly support,Not sure,Build more homes even if neighborhoods change
NVH00076,online,complete,Passed,625,Clark,Clark,28,Male,Hispanic/Latino,College graduate,Independent/Other,Somewhat liberal,Harris,Rent,Yes,Somewhat serious,Somewhat oppose,Strongly support,Strongly oppose,Not too concerned,Somewhat oppose,Somewhat oppose,Not sure
NVH00077,online,complete,Passed,889,Clark,Clark,55,Male,Hispanic/Latino,Postgraduate,Independent/Other,Moderate,Trump,Other arrangement,No,Very serious,Strongly oppose,Somewhat oppose,Somewhat support,Not too concerned,Strongly support,Somewhat support,Build more homes even if neighborhoods change
NVH00078,sms,complete,Passed,583,Clark,Clark,35,Female,White non-Hispanic,Some college/associate,Democrat,Moderate,Harris,Own,No,Very serious,Somewhat oppose,Strongly support,Somewhat oppose,Somewhat concerned,Somewhat oppose,Strongly support,Protect existing neighborhoods even if fewer homes are built
NVH00079,online,complete,Passed,1377,Clark,Clark,46,Male,Hispanic/Latino,Some college/associate,Republican,Moderate,Trump,Rent,No,Very serious,Strongly support,Strongly support,Somewhat support,Somewhat concerned,Strongly support,Somewhat support,Build more homes even if neighborhoods change
NVH00080,online,partial,Passed,543,Clark,Clark,33,Female,Asian/Pacific Islander,High school or less,Independent/Other,Moderate,Harris,Rent,No,Very serious,Strongly support,Strongly support,Somewhat oppose,Somewhat concerned,Strongly support,Somewhat support,Protect existing neighborhoods even if fewer homes are built
NVH00081,sms,complete,Passed,1292,Clark,Clark,34,Male,Hispanic/Latino,Postgraduate,Republican,Very conservative,Trump,Rent,Yes,Somewhat serious,Strongly oppose,Somewhat oppose,Somewhat oppose,Somewhat concerned,Somewhat support,Somewhat support,Build more homes even if neighborhoods change
NVH00082,sms,complete,Passed,1044,Clark,Clark,32,Female,Black,Postgraduate,Democrat,Somewhat liberal,Harris,Own,Yes,Somewhat serious,Strongly support,Somewhat support,Strongly oppose,Not too concerned,Strongly support,Somewhat oppose,Build more homes even if neighborhoods change
NVH00083,online,complete,Passed,1323,Clark,Clark,43,Female,White non-Hispanic,College graduate,Independent/Other,Somewhat liberal,Harris,Rent,Yes,Very serious,Somewhat support,Somewhat support,Somewhat support,Not at all concerned,Strongly support,Somewhat oppose,Protect existing neighborhoods even if fewer homes are built
NVH00084,sms,complete,Passed,607,Clark,Clark,54,Female,Hispanic/Latino,College graduate,Independent/Other,Somewhat liberal,Trump,Own,No,Somewhat serious,Somewhat oppose,Strongly support,Strongly oppose,Not too concerned,Strongly support,Strongly support,Build more homes even if neighborhoods change
NVH00085,online,complete,Failed,559,Washoe,Washoe,60,Female,Other/Mixed,High school or less,Republican,Somewhat conservative,Trump,Own,No,Very serious,Somewhat oppose,Somewhat oppose,Strongly oppose,Very concerned,Strongly support,Somewhat support,Protect existing neighborhoods even if fewer homes are built
NVH00086,online,complete,Passed,610,Clark,Clark,59,Male,White non-Hispanic,High school or less,Independent/Other,Moderate,Harris,Rent,No,Very serious,Not sure,Strongly support,Strongly oppose,Not too concerned,Strongly oppose,Strongly support,Build more homes even if neighborhoods change
NVH00087,sms,complete,Passed,381,Clark,Clark,18,Female,White non-Hispanic,College graduate,Independent/Other,Moderate,Other,Rent,No,Somewhat serious,Somewhat support,Strongly support,Strongly oppose,Not too concerned,Somewhat support,Strongly oppose,Not sure
NVH00088,sms,complete,Passed,1390,Clark,Clark,41,Male,White non-Hispanic,High school or less,Independent/Other,Somewhat conservative,Harris,Rent,No,Very serious,Somewhat support,Strongly support,Somewhat support,Not at all concerned,Somewhat oppose,Strongly oppose,Protect existing neighborhoods even if fewer homes are built
NVH00089,online,complete,Passed,486,Rural Nevada,Douglas,18,Male,White non-Hispanic,College graduate,Republican,Moderate,Trump,Own,Yes,Very serious,Somewhat support,Strongly support,Strongly support,Somewhat concerned,Strongly support,Not sure,Build more homes even if neighborhoods change
NVH00090,online,complete,Passed,332,Washoe,Washoe,51,Male,Hispanic/Latino,Some college/associate,Republican,Very conservative,Trump,Own,No,Very serious,Strongly support,Strongly oppose,Strongly oppose,Somewhat concerned,Not sure,Strongly support,Build more homes even if neighborhoods change
NVH00091,online,complete,Passed,373,Washoe,Washoe,55,Female,Other/Mixed,Some college/associate,Independent/Other,Moderate,Harris,Rent,No,Very serious,Somewhat support,Somewhat oppose,Somewhat support,Very concerned,Somewhat support,Somewhat support,Protect existing neighborhoods even if fewer homes are built
NVH00092,online,complete,Passed,933,Clark,Clark,82,Female,Hispanic/Latino,Postgraduate,Independent/Other,Somewhat conservative,Did not vote,Own,No,Somewhat serious,Somewhat oppose,Somewhat support,Strongly support,Somewhat concerned,Strongly support,Somewhat support,Not sure
NVH00093,online,complete,Failed,1358,Rural Nevada,Nye,45,Male,Black,Some college/associate,Republican,Somewhat conservative,Did not vote,Own,Yes,Not too serious,Strongly oppose,Somewhat oppose,Strongly oppose,Somewhat concerned,Strongly support,Somewhat oppose,Protect existing neighborhoods even if fewer homes are built
NVH00094,online,partial,Passed,373,Clark,Clark,30,Female,Hispanic/Latino,Postgraduate,Democrat,Somewhat liberal,Harris,Rent,No,Somewhat serious,Somewhat oppose,Strongly support,Not sure,Somewhat concerned,Somewhat support,Somewhat support,Build more homes even if neighborhoods change
NVH00095,online,complete,Passed,852,Clark,Clark,29,Female,Hispanic/Latino,College graduate,Democrat,Somewhat liberal,Harris,Own,No,Not too serious,Not sure,Strongly oppose,Somewhat support,Very concerned,Somewhat support,Somewhat oppose,Protect existing neighborhoods even if fewer homes are built
NVH00096,online,complete,Passed,263,Rural Nevada,Lyon,54,Male,Asian/Pacific Islander,High school or less,Independent/Other,Moderate,Harris,Rent,No,Somewhat serious,Strongly support,Strongly support,Strongly oppose,Somewhat concerned,Somewhat oppose,Strongly oppose,Protect existing neighborhoods even if fewer homes are built
NVH00097,sms,complete,Passed,901,Clark,Clark,33,Male,White non-Hispanic,College graduate,Independent/Other,Moderate,Harris,Own,Yes,Very serious,Somewhat support,Strongly support,Somewhat support,Somewhat concerned,Strongly support,Not sure,Build more homes even if neighborhoods change
NVH00098,online,complete,Passed,448,Clark,Clark,43,Male,White non-Hispanic,High school or less,Republican,Very conservative,Trump,Own,Yes,Somewhat serious,Somewhat oppose,Strongly support,Somewhat support,Not too concerned,Strongly support,Somewhat support,Protect existing neighborhoods even if fewer homes are built
NVH00099,online,complete,Passed,1187,Clark,Clark,56,Female,Hispanic/Latino,College graduate,Independent/Other,Moderate,Other,Own,No,Somewhat serious,Strongly support,Somewhat oppose,Somewhat oppose,Somewhat concerned,Strongly support,Somewhat oppose,Protect existing neighborhoods even if fewer homes are built
NVH00100,online,complete,Passed,1387,Clark,Clark,19,Female,White non-Hispanic,Some college/associate,Republican,Moderate,Did not vote,Rent,No,Somewhat serious,Somewhat support,Somewhat support,Somewhat support,Not at all concerned,Strongly oppose,Somewhat oppose,Protect existing neighborhoods even if fewer homes are built
NVH00101,online,complete,Passed,317,Clark,Clark,56,Male,Asian/Pacific Islander,Postgraduate,Independent/Other,Somewhat conservative,Trump,Own,No,Very serious,Somewhat support,Somewhat support,Strongly oppose,Very concerned,Strongly support,Somewhat support,Not sure
